"DD-MMM-YYYY"	"NHF"	"LHF"	"SHF"	"SWR"	"LWR"  
"01-JAN-2002"	-36.66	105.4	8.242	-200.9	53.33  
"01-FEB-2002"	-40.54	103.5	7.064	-201.3	53.21  
"01-MAR-2002"	-36.43	103.2	5.85	-197.1	53.46  
"01-APR-2002"	-26.72	100.7	4.861	-184.5	52.92  
"01-MAY-2002"	-13.24	100.8	4.706	-170.9	52.83  
"01-JUN-2002"	5.458	108.3	5.632	-159.8	51.31  
"01-JUL-2002"	-2.804	103.5	5.67	-162.2	50.3  
"01-AUG-2002"	-14.8	103.3	5.444	-173.1	50.61  
"01-SEP-2002"	-28.98	102	5.837	-187.9	52.38  
"01-OCT-2002"	-34.86	101.8	6.777	-196	53.72  
"01-NOV-2002"	-30.73	107.6	7.215	-196.9	52.72  
"01-DEC-2002"	-32.34	106.3	9.223	-199.3	53.1  
"01-JAN-2003"	-31.86	108.7	8.886	-200.8	53.38  
"01-FEB-2003"	-37.53	105	8.234	-202.1	53.47  
"01-MAR-2003"	-35.16	102.3	6.948	-197.5	54.45  
"01-APR-2003"	-23.28	101.7	5.801	-183.4	52.94  
"01-MAY-2003"	-8.213	102.3	5.085	-167.3	51.67  
"01-JUN-2003"	-0.2258	102.2	6.017	-161.1	52.54  
"01-JUL-2003"	-0.3927	105.5	5.774	-162.8	51.26  
"01-AUG-2003"	-16.28	101.8	5.885	-176	52.65  
"01-SEP-2003"	-27.14	103.2	5.866	-188	52.96  
"01-OCT-2003"	-34.81	103	5.798	-195.6	53.38  
"01-NOV-2003"	-34.37	104.8	7.292	-198.4	53.12  
"01-DEC-2003"	-30.78	108	9.139	-199.4	53.11  
"01-JAN-2004"	-35.35	104.9	9.437	-202.6	54.79  
"01-FEB-2004"	-34.64	105.9	8.381	-202.7	55.53  
"01-MAR-2004"	-29.35	105.3	6.392	-193.1	53.24  
"01-APR-2004"	-24.75	101.8	4.893	-185.1	54  
"01-MAY-2004"	-7.068	102.7	5.071	-168.7	53.7  
"01-JUN-2004"	5.923	107.7	5.289	-159.5	52.45  
"01-JUL-2004"	-2.84	102.3	6.007	-164.1	53.04  
"01-AUG-2004"	-13.34	103.5	6.304	-175.4	53.41  
"01-SEP-2004"	-26.52	103.3	5.42	-188.1	53.89  
"01-OCT-2004"	-32.64	104.1	5.912	-195.1	53.78  
"01-NOV-2004"	-34.25	103.8	7.402	-198.9	54.62  
"01-DEC-2004"	-31.82	106	9.186	-200.3	54.93  
"01-JAN-2005"	-34.1	106.6	9.077	-201.4	53.58  
"01-FEB-2005"	-37.02	104.3	7.925	-200.3	52.98  
"01-MAR-2005"	-34.65	102.4	6.604	-196.4	53.84  
"01-APR-2005"	-22.71	103.1	4.724	-182.6	52.48  
"01-MAY-2005"	-8.636	102.6	4.972	-169	52.59  
"01-JUN-2005"	2.637	104.3	5.833	-159.3	51.53  
"01-JUL-2005"	-0.5487	105.5	5.654	-161.6	50.14  
"01-AUG-2005"	-12.05	105.2	6.563	-174.1	51.04  
"01-SEP-2005"	-27.86	102.9	5.597	-186.2	51.37  
"01-OCT-2005"	-32.77	104.9	6.137	-194.8	52.4  
"01-NOV-2005"	-36.17	103.4	7.44	-199.2	53.4  
"01-DEC-2005"	-33.87	106.1	9.523	-202.7	54.56  
"01-JAN-2006"	-33.24	108.9	9.129	-203	53.79  
"01-FEB-2006"	-39.4	103.7	8.488	-203.9	54.22  
"01-MAR-2006"	-34.93	103.7	5.711	-197.4	54.03  
"01-APR-2006"	-27.01	101	4.578	-185	52.67  
"01-MAY-2006"	-11.73	101.1	4.59	-170.7	53.08  
"01-JUN-2006"	2.125	106.4	5.274	-161.1	51.3  
"01-JUL-2006"	-5.635	102.7	5.379	-163.9	50.58  
"01-AUG-2006"	-15.23	103.4	5.93	-175.2	51.74  
"01-SEP-2006"	-28.75	103.4	5.162	-188.3	52.4  
"01-OCT-2006"	-32.33	105	5.587	-194.5	53.01  
"01-NOV-2006"	-35.65	103	7.069	-198.9	54.28  
"01-DEC-2006"	-28.35	108.8	8.956	-198.7	54.09  
"01-JAN-2007"	-31.75	108.9	8.642	-201.3	53.89  
"01-FEB-2007"	-38.14	104.4	7.149	-202.4	54.64  
"01-MAR-2007"	-31.19	105.7	6.596	-195.5	53.23  
"01-APR-2007"	-25.46	101.3	4.537	-184.5	53.53  
"01-MAY-2007"	-9.925	102.3	4.054	-168.8	52.17  
"01-JUN-2007"	2.767	105.4	5.42	-160.3	51.91  
"01-JUL-2007"	-3.15	103.4	5.449	-163.3	51.53  
"01-AUG-2007"	-14.33	104.8	4.962	-174	50.61  
"01-SEP-2007"	-26.78	103.4	5.551	-185.8	51.48  
"01-OCT-2007"	-34.43	103.9	5.709	-194.3	51.5  
"01-NOV-2007"	-36.88	103.9	6.347	-197.4	51.44  
"01-DEC-2007"	-33.64	106.5	8.305	-198.6	51.48  
"01-JAN-2008"	-35.02	105.1	8.891	-202	55.02  
"01-FEB-2008"	-33.78	105.8	8.039	-201	55.64  
"01-MAR-2008"	-33.54	102.5	5.991	-196.8	55.91  
"01-APR-2008"	-20	103	5.026	-183.1	55.34  
"01-MAY-2008"	-5.617	102.9	5.367	-169.9	55.82  
"01-JUN-2008"	6.967	108	5.207	-160.7	54.1  
"01-JUL-2008"	4.464	107.9	6.442	-164	54.03  
"01-AUG-2008"	-13.45	103.5	5.786	-175.9	53.71  
"01-SEP-2008"	-24.43	103.5	6.25	-186.2	53.34  
"01-OCT-2008"	-30.88	105.7	5.815	-195.4	54.37  
"01-NOV-2008"	-32.38	105.2	7.309	-198.2	54.49  
"01-DEC-2008"	-32.33	106.1	9.118	-201.3	55.04  
"01-JAN-2009"	-31.29	108.2	9.412	-203	55.96  
"01-FEB-2009"	-36.39	105.3	7.506	-202.5	55.23  
"01-MAR-2009"	-33.69	101.6	6.379	-196	55.43  
"01-APR-2009"	-22	102.7	4.747	-184.3	55.17  
"01-MAY-2009"	-6.158	103.4	5.736	-171.1	55.7  
"01-JUN-2009"	3.79	105.1	6.182	-162.8	54.94  
"01-JUL-2009"	3.419	107.8	5.742	-162.8	52.7  
"01-AUG-2009"	-13.52	103	6.221	-174.9	53.02  
"01-SEP-2009"	-25.84	103.4	5.465	-185.9	52.53  
"01-OCT-2009"	-35.43	102.1	6.052	-197.2	54.77  
"01-NOV-2009"	-30.74	105	8.197	-196.8	53.98  
"01-DEC-2009"	-30.73	106	9.589	-200.9	55.76  
"01-JAN-2010"	-30.1	109.5	9.162	-201.7	54.96  
"01-FEB-2010"	-34.92	105.5	8.529	-202.1	55.28  
"01-MAR-2010"	-33.37	103.1	6.411	-196.1	54.76  
"01-APR-2010"	-23.27	102.5	5.093	-184.8	54.39  
"01-MAY-2010"	-8.664	103.5	4.798	-171	53.98  
"01-JUN-2010"	2.855	105.7	5.292	-160.9	52.66  
"01-JUL-2010"	2.425	106.5	6.249	-161.7	51.68  
"01-AUG-2010"	-12.61	103	6.126	-172.8	51.9  
"01-SEP-2010"	-25.38	103.8	5.539	-186.7	53.13  
"01-OCT-2010"	-32.83	103	6.389	-195	54.42  
"01-NOV-2010"	-34.49	103.8	6.985	-198.7	54.7  
"01-DEC-2010"	-31.38	105.5	9.396	-200.1	55.16  
"01-JAN-2011"	-32.64	105.3	9.377	-201.2	55.65  
"01-FEB-2011"	-34.99	104.7	8.587	-202.2	55.66  
"01-MAR-2011"	-32.68	103.3	6.571	-197.6	56.28  
"01-APR-2011"	-20.49	102.7	5.399	-183.1	54.82  
"01-MAY-2011"	-7.329	101.7	4.962	-167.8	53.8  
"01-JUN-2011"	6.931	106.7	5.516	-157.9	52.43  
"01-JUL-2011"	3.062	106	5.774	-161.3	52.5  
"01-AUG-2011"	-13.09	103	6.066	-174.3	52.84  
"01-SEP-2011"	-26.4	102.5	5.243	-186.2	53.18  
"01-OCT-2011"	-34.65	102.1	6.3	-196.8	55.11  
"01-NOV-2011"	-34.38	106.1	7.007	-199.6	55.13  
"01-DEC-2011"	-33.07	106.5	7.614	-196.7	53.65  
"01-JAN-2012"	-38.82	104.3	8.186	-202.9	56.46  
"01-FEB-2012"	-40.19	103.3	7.48	-203.6	56.68  
"01-MAR-2012"	-34.53	103.3	5.253	-194.6	54.85  
"01-APR-2012"	-24.26	101.8	3.988	-183.4	54.54  
"01-MAY-2012"	-7.245	103.6	4.625	-169.1	54.7  
"01-JUN-2012"	0.6807	105	5.086	-160.1	53.41  
"01-JUL-2012"	-7.147	98.24	5.271	-162.7	52.16  
"01-AUG-2012"	-19.64	97.51	5.881	-175.7	53.38  
"01-SEP-2012"	-31.55	97.92	5.818	-187.3	53.37  
"01-OCT-2012"	-43.1	95.61	5.765	-198.1	54.91  
"01-NOV-2012"	-42.39	97.07	7.422	-201.5	55.66  
"01-DEC-2012"	-40.04	98.99	9.17	-202.4	55.61  
"01-JAN-2013"	-35.58	108.7	7.861	-201.4	54.56  
"01-FEB-2013"	-40.02	105.3	6.517	-202.3	55.07  
"01-MAR-2013"	-38.75	100.7	5.358	-196.5	54.96  
"01-APR-2013"	-25.06	101.3	4.263	-184	54.77  
"01-MAY-2013"	-9.164	103.5	4.232	-169.8	54.19  
"01-JUN-2013"	1.803	107.2	4.726	-159.4	52.09  
"01-JUL-2013"	-2.991	106.5	5.167	-163.4	52.36  
"01-AUG-2013"	-18.15	103.8	5.213	-175.8	53.54  
"01-SEP-2013"	-27.24	106.2	5.461	-188.3	54.23  
"01-OCT-2013"	-35.52	104.8	5.719	-196.8	54.53  
"01-NOV-2013"	-33.8	107.4	6.988	-200.8	55.21  
"01-DEC-2013"	-35.88	106	8.239	-201.7	55.38  
